headline,category_politics,category_business,category_technology,category_sports,category_entertainment,category_health,category_science,category_world,sentiment,sensationalism_score,breaking_probability,error,error_type
Senate Passes Sweeping Immigration Reform Bill After Marathon Overnight Session,0.99,0.03,0.01,0.0,0.01,0.01,0.01,0.1,neutral,0.68,0.85,,
"Tech Giant's Stock Soars After Blowout Earnings, Fueling Market Rally",0.01,0.99,0.96,0.01,0.02,0.01,0.03,0.15,positive,1.04,0.86,,
New AI Chip Promises to Cut Data Center Energy Use in Half,0.02,0.6,0.98,0.01,0.02,0.01,0.75,0.18,positive,1.01,0.53,,
Underdog Team Stuns Rivals to Clinch Championship in Overtime Thriller,0.01,0.01,0.01,0.98,0.4,0.01,0.01,0.06,positive,1.22,0.85,,
Beloved Actor Announces Surprise Retirement After Decades-Long Career,0.02,0.07,0.01,0.01,0.98,0.08,0.01,0.11,neutral,0.79,0.83,,
Researchers Identify New Gene Linked to Early-Onset Alzheimer's,0.01,0.03,0.08,0.01,0.01,0.97,0.97,0.13,neutral,0.06,0.64,,
NASA's New Telescope Captures Unprecedented Images of Distant Galaxy,0.01,0.03,0.83,0.01,0.03,0.01,0.97,0.24,positive,0.82,0.73,,
Global Leaders Meet in Geneva to Negotiate Climate Emergency Response,0.9,0.05,0.04,0.01,0.01,0.02,0.24,0.92,neutral,0.29,0.77,,
Local Hospital Opens First Dedicated Pediatric Cancer Wing,0.03,0.24,0.07,0.01,0.01,0.98,0.28,0.06,positive,0.02,0.71,,
Streaming Platform's New Series Breaks First-Week Viewership Records,0.01,0.7,0.39,0.02,0.98,0.01,0.03,0.12,positive,0.61,0.94,,
Donald Trump announces ban on three news outlets,0.97,0.12,0.06,0.01,0.04,0.01,0.01,0.19,neutral,0.42,0.8,,
Thousands protest closure of the Kennedy Center amid fears Trump is set to demolish the institution,0.93,0.05,0.01,0.01,0.63,0.01,0.02,0.11,negative,1.44,0.76,,
Google says Gemini AI model hacked three companies,0.03,0.61,0.96,0.01,0.03,0.02,0.22,0.35,negative,1.13,0.65,,
Critics review Zach Creggers new Resident Evil film,0.01,0.08,0.04,0.01,0.96,0.01,0.06,0.08,neutral,0.01,0.48,,
